store,week,category,subcategory,unit,consumption,waste,consumption_with_waste
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Coconut Cold Foam,ml,2513.7475,175.96232500000002,2689.709825
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Cold Cappuccino Foam,ml,59.147,4.14029,63.28729
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Cold Milk,ml,44301.103,3101.0772100000004,47402.180210000006
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Cream Base,g,7.0,0.49000000000000005,7.49
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Greek Yogurt,g,17.0,1.1900000000000002,18.19
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Milk,ml,98878.99725,6921.529807500001,105800.5270575
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Whipped Cream,ml,1.0,0.07,1.07
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Dairy,Whipped Cream (Optional),ml,70.0,4.9,74.9
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Specialty Milk,Almond Milk,ml,1330.8075000000001,93.15652500000002,1423.9640250000002
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Specialty Milk,Coconut Milk,ml,502.7495,35.192465000000006,537.941965
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Chocolate Sauce,pump,162.0,0.0,162.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Coconut Syrup,pump,135.0,0.0,135.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Dragon Fruit Syrup,pump,51.0,0.0,51.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Hazelnut Syrup,pump,45.0,0.0,45.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Rose Syrup,pump,5.0,0.0,5.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Sweetner syrup (optional),pump,81.0,0.0,81.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Syrup (Customer's Choice),pump,47.0,0.0,47.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Syrup (Optional),pump,2193.0,0.0,2193.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Syrups,Vanilla Syrup,pump,2.0,0.0,2.0
